"V4-28999","῾Ηρακλείδης","BGU-1738, 11"
"V4-29000","῾Ηρακλείδης","BGU-1738, 12 "
"V4-29001","῾Ηρακλείδης","BGU-1816, 2"
"V4-29002","῾Ηρακλείδης","BGU-1832, 3 "
"V4-29003","῾Ηρακλείδης","BGU-1832, 3"
"V4-29035","῾Ηράκλειος","BGU-1736, 8, 21 "
"V4-29036","῾Ηράκλειος","BGU-1736, 9"
"V4-29043","῾Ηράκλειτος","BGU-1772, 8, 31"
"V4-29244","Θεόδωρος","BGU-1132, 5, 7, 9"
"V4-29270","Θεόκριτος","BGU-1256, 3"
"V4-29330","Θέρσανδρος","BGU-1731, 1, 3-4, 8-9, 13-14, 16, 19 "
"V4-29360","Θέων","BGU-2423, 39 "
"V4-29411","Ἰατροκλῆς","BGU-1772, 8, 31 "
"V4-29443","῾Ιέρων","BGU-2423, 33 "
"V4-29672","Ἰσχυρίων","BGU-2374, 2"
"V4-29759","Καλλίμαχος","BGU-1938 B, 7"
"V4-29777","Κάλλις","BGU-1736, 8"
"V4-30042","Κλειτόδωρος","BGU-2423, 27 "
"V4-30054","Κλεῖτος","BGU-2423, 27"
"V4-30109","Κλεοπάτρα","BGU-1939 A, 12 "
"V4-30300","Κότυς","BGU-2397, [4], 20"
"V4-30494","Λαοδίκη","BGU-1059, 3, 5, 11, 18"
"V4-30732","Λύκος","BGU-1733, 4, 17"
"V4-30789","Λυσίας","BGU-1059, 3"
"V4-30836","Λυσίμαχος","BGU-2423, 34"
"V4-31781","Νίκανδρος","BGU-1266, 7"
"V4-31782","Νίκανδρος","BGU-2423, 30 "
"V4-31876","Νικάνωρ","BGU-1463, 2, 8"
"V4-31997","Νικόδημος","BGU-1132, 2, 5"
"V4-32190","Νόμος","BGU-1959, 9, 15, [17], 20, 22 "
"V4-32865","Περδίκκας","BGU-2423, 35"
"V4-32982","Ποκεύς","BGU-2394, [6], 10-12, 14"
"V4-33026","Πολιάνθης","BGU-1266, 7, 11, 18, etc. "
"V4-33065","Πολυκράτης","BGU-1939 A, 6"
"V4-33310","Πρώταρχος","BGU-1059, 4"
"V4-33328","Πρωτογένης","BGU-1256, 5"
"V4-33340","Πτολέμα","BGU-1939 A, 3 "
"V4-33372","Πτολεμαῖος","BGU-1274, 15 "
"V4-33373","Πτολεμαῖος","BGU-1905, 7 "
"V4-33375","Πτολεμαῖος","BGU-2396, 5, 8, 10 "
"V4-33384","Πτολεμαῖος","BGU-1938 B, 11"
"V4-33389","Πτολεμαῖος","BGU-2423, 32"
"V4-33435","Πτολεμαῖος","BGU-1052, 36"
"V4-33565","Πύρρος","BGU-1943, 4, 7-8, [9], 11-12, 14-16, 18, 25, 29, [30], [32]"
"V4-33931","Σπόκης","BGU-2394, 6 & BO 48 (1991) p. 844"
"V4-34019","Στράτων","BGU-1958"
"V4-34175","Σωσίβιος","BGU-2423, 38"
"V4-34529","Τρύφων","BGU-2423, 37"
"V4-34967","Φιλόξενος","BGU-1732, [3], 6, [8], [10], 12-13 etc. "
"V4-35010","Φίλων","BGU-2423, 36"
"V4-35011","Φίλων","BGU-1733, 1, [4], 7-8, 11, 16-17, 20, 23 "
"V4-35129","Χαιρεφάνης","BGU-2423, 35 "
"V4-35132","Χαιρήμων","BGU-1738, 1, 11, 18 and verso "
"V4-35211","Χρύσιππος","BGU-1938 B, 4"
"V5a-6466","Θεόδοτος","BGU-1266, 9"
"V5a-7828","Μουσαῖος","BGU-1968, 2, [7], [10], [11]"
"V5a-8486","Πτολεμαῖος","BGU-1959, 14"
"V5a-8975","Σώστρατος","BGU-1266 A, 9"
"V5a-13438","Δημήτριος","BGU-1944, 4, [25]"
"V5a-16016","Καλλίστη","BGU-1944, 4, 9, [10-11], [12], 13, 15 etc."
"V5a-19249","Παράμονος","BGU-1944, 4, 24"
"V5a-23368","Δίων","BGU-1285, 1, 3"
"V5a-23369","Δημήτριος","BGU-1285, 3"
"V5a-23370","Δημήτριος","BGU-1285, 5"
"V5a-23371","Δίων","BGU-1285, 8, 11, 14"
