"V4-31293","Μένανδρος","SB-9258, 7"
"V4-31671","Νέαρχος","SB-8974 fr. 3, 4, 7, [9], 11 etc. "
"V4-31978","Νικίας","SB-9258, 6"
"V4-32918","Πευκέστας","SB-11942"
"V4-33043","Πολυδεύκης","SB-7532, 25, 37 "
"V4-33392","Πτολεμαῖος","SB-12101, 1 "
"V4-33395","Πτολεμαῖος","SB-11893, 2"
"V4-33402","Πτολεμαῖος","SB-12721 I, 2"
"V4-33404","Πτολεμαῖος","SB-13095, 2"
"V4-33407","Πτολεμαῖος","SB-11860, 4 "
"V4-33408","Πτολεμαῖος","SB-11860, 5"
"V4-33421","Πτολεμαῖος","SB-8974 fr. 3, 44"
"V4-33430","Πτολεμαῖος","SB-12569, 2, 13, 18, [21] "
"V4-33432","Πτολεμαῖος","SB-12569, 2, 13, 18, [21]"
"V4-34021","Στράτων","SB-7532, 24"
"V4-34114","Σωγένης","SB-6283, 8, etc. "
"V4-34202","Σωσίνικος","SB-12524, 2 "
"V4-34241","Σώστρατος","SB-9258, 6 "
"V5a-2035","῾Ηρακλείδης","SB-2050"
"V5a-2458","Λαινέτα","SB-5005"
"V5a-2508","Λιγυριανή","SB-9145, 9"
"V5a-2817","Νικόστρατος","SB-6278, 22"
"V5a-7253","Λυσίμαχος","SB-15240, 8, 12-13, 19 etc."
"V5a-9057","Τίμαρχος","SB-15240, 8, 18"
"V5a-10860","Ἀντίπατρος","SB-15068, 1, 5 and verso"
"V5a-11352","Ἀπολλώνιος","SB-10782, 1"
"V5a-11760","Ἀρίστων","SB-2113"
"V5a-13437","Δημήτριος","SB-11054, 3"
"V5a-18739","Νικαφένεια","SB-1551"
"V5a-18980","῎Ολυμπος","SB-15068, 1 and verso"
"V5a-19287","Παρμενίων","SB-11059, 4, 6, 10-11"
"V5a-21109","Φίλων","SB-11059, 4"
"V5a-39546","Ἀρτεμίδωρος","SB-4224, 6, 21, 25, 30"
"V5a-39547","Ἀντιοχανή","SB-5940"
